# GPD ASCII Format
# 24 Apr 00
# Raw Counts - All Pollen Types
#
# ****************************************************************
# ** Please acknowledge the contributors and the North American **
# ** Pollen Database when using these data.                     **
# ****************************************************************
#
# Site name:      Jackson Pond
     0.0     0.0     7.0    10.0     1.0    24.5     0.0     0.0     6.0     0.0
   173.0    11.0     1.0     0.0     0.0     0.0     4.0     0.0     1.0    97.0
     1.0     1.0     0.0     5.0     0.0     0.0     2.0     0.0    14.0     0.0
     0.0     0.0     1.0     0.0     0.0     0.0     0.0     0.0     4.0     1.0
    41.0     0.0     1.0     0.0     0.0     0.0     2.0     0.0     0.0     1.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
    14.0     0.0     0.0     0.0     2.0     1.0     0.0     0.0     0.0     8.0
     0.0   617.0     3.0 16180.0     1.0
100, , -6
     0.0     0.0     0.0     3.0     0.0     1.0     0.0     1.0     0.0     0.0
     2.0    17.0     1.0     0.0    53.0     0.0     0.0     0.0     1.0     0.0
    14.0     9.0     1.0     0.0     2.0     1.0     3.0     1.0     0.0    13.0
     0.0     0.0     4.0     6.0     0.0    18.0     0.0     0.0     2.0     0.0
   198.0    15.0     0.0     0.0     0.0     0.0     3.0     0.0     2.0    73.0
     0.0     0.0     0.0     1.0     0.0     0.0     1.0     0.0     8.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     3.0     0.0
    47.0     0.0     0.0     0.0     0.0     0.0     8.0     0.0     0.0     1.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
    25.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0     0.0     9.0
     1.0   777.0     3.0 16180.0     1.0
105, , 13
     0.0     1.0     0.0     1.0     0.0     2.0     1.0     1.0     0.0     0.0
     1.0    17.0     1.0     0.0    43.0     0.0     0.0     0.0     0.0     0.0
    11.0     4.0     2.0     1.0     1.0     0.0     1.0     1.0     0.0    18.0
     0.0     0.0     7.0     6.0     0.0    15.0     0.0     1.0     5.0     0.0
   185.0    13.0     0.0     0.0     0.0     1.0     6.0     0.0     0.0    65.0
     0.0     0.0     0.0     1.0     0.0     0.0     3.0     0.0    10.0     0.0
     2.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0
    36.0     0.0     1.0     0.0     0.0     0.0     8.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     8.0     0.0     0.0     1.0     1.0     0.0     1.0     2.0     0.0    12.0
     0.0   681.0     3.0 16180.0     1.0
110, , 32
     0.0     0.0     0.0     4.0     2.0     3.0     0.0     0.0     0.0     0.0
     0.0    15.0     1.0     0.0    33.0     0.0     0.0     0.0     1.0     1.0
    10.0     4.0     0.0     0.0     0.0     2.0     5.0     2.0     0.0    14.0
     0.0     0.0     4.0     4.0     2.0    12.5     0.0     0.0     3.0     0.0
   198.0     8.0     0.0     0.0     0.0     0.0     8.0     0.0     0.0    73.0
     0.0     1.0     0.0     2.0     0.0     0.0     4.0     0.0     8.0     0.0
     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0     2.0     0.0
    43.0     0.0     0.0     0.0     0.0     0.0     4.0     0.0     0.0     2.0
     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
    12.0     0.0     0.0     0.0     3.0     0.0     2.0     1.0     0.0    18.0
     0.0   669.0     3.0 16180.0     1.0
115, , 51
     0.0     0.0     0.0     3.0     0.0     2.0     0.0     2.0     0.0     2.0
     0.0    16.0     2.0     0.0    56.0     0.0     0.0     0.0     1.0     0.0
    12.0     5.0     1.0     0.0     1.0     1.0     3.0     2.0     0.0    13.0
     0.0     0.0     3.0     3.0     0.0    20.0     0.0     1.0     3.0     0.0
   192.0    10.0     0.0     0.0     0.0     1.0    10.0     0.0     0.0    75.0
     0.0     0.0     0.0     3.0     0.0     0.0     3.0     0.0     9.0     0.0
     0.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0     1.0     0.0
    46.0     0.0     0.0     0.0     0.0     0.0     4.0     0.0     0.0     1.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
    12.0     0.0     0.0     0.0     2.0     0.0     0.0     2.0     0.0    13.0
     0.0   172.0     1.0 16180.0     1.0
120, , 70
     0.0     0.0     0.0     3.0     0.0     1.0     0.0     2.0     0.0     4.0
     0.0    18.0     4.0     0.0    76.0     0.0     0.0     0.0     2.0     0.0
    16.0     7.0     1.0     0.0     3.0     1.0     1.0     1.0     0.0    12.0
     0.0     0.0     2.0     3.0     0.0    21.0     0.0     2.0     3.0     0.0
   180.0    11.0     0.0     0.0     0.0     1.0    11.0     0.0     1.0    80.0
     0.0     0.0     0.0     3.0     0.0     0.0     1.0     0.0    11.0     0.0
     0.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0     0.0     1.0
    46.0     0.0     0.0     0.0     0.0     0.0     9.0     0.0     0.0     1.0
     0.0     0.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
    12.0     0.0     0.0     1.0     1.0     0.0     0.0     3.0     0.0    11.0
     1.0   184.0     1.0 16180.0     1.0
125, , 89
     0.0     0.0     0.0     2.0     0.0     3.0     0.0     0.0     0.0     0.0
     3.0    22.0    10.0     0.0    65.0     0.0     0.0     0.0     1.0     0.0
    12.0     3.0     0.0     0.0     2.0     0.0     2.0     2.0     0.0    10.0
     0.0     0.0     2.0     3.0     2.0    10.5     0.0     0.0     2.0     0.0
   186.0    16.0     0.0     0.0     0.0     0.0    15.0     0.0     0.0    65.0
     0.0     0.0     0.0     4.0     0.0     0.0     2.0     0.0    17.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
    30.0     0.0     1.0     0.0     0.0     0.0    14.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     2.0     0.0     1.0     0.0     0.0     2.0     0.0     0.0     0.0     5.0
     1.0   333.0     4.0 16180.0     1.0
130, , 109
     0.0     0.0     0.0     2.0     0.0     2.0     0.0     2.0     0.0     0.0
     4.0    21.0     9.0     0.0    80.0     0.0     0.0     0.0     1.0     1.0
    10.0     3.0     0.0     0.0     3.0     0.0     2.0     2.0     0.0    10.0
     0.0     0.0     6.0     5.0     0.0    11.0     0.0     0.0     3.0     0.0
   190.0    17.0     0.0     0.0     0.0     0.0    10.0     0.0     0.0    48.0
     0.0     0.0     0.0     3.0     0.0     0.0     2.0     0.0    16.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0
    33.0     0.0     1.0     0.0     0.0     0.0     8.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0     8.0
     1.0   210.0     3.0 16180.0     1.0
135, , 180
     0.0     1.0     0.0     3.0     0.0     1.0     0.0     4.0     0.0     0.0
     0.0    17.0     7.0     0.0    99.0     0.0     0.0     1.0     0.0     1.0
     8.0     2.0     0.0     0.0     5.0     1.0     2.0     3.0     0.0     7.0
     1.0     2.0     9.0     4.0     0.0    11.0     0.0     0.0     3.0     0.0
   206.0    14.0     0.0     1.0     1.0     0.0     6.0     0.0     0.0    34.0
     1.0     0.0     0.0     2.0     0.0     0.0     2.0     0.0    16.0     0.0
     0.0     0.0     0.0     1.0     1.0     0.0     0.0     0.0     1.0     0.0
    35.0     0.0     3.0     0.0     0.0     0.0     7.0     0.0     0.0     0.0
     0.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     1.0     0.0     0.0     0.0     1.0     0.0     0.0
     0.0     0.0     0.0     1.0     1.0     0.0     0.0     1.0     0.0     6.0
     1.0   201.0     4.0 16180.0     1.0
140, , 329
     0.0     0.0     0.0     3.0     0.0     2.0     0.0     3.0     0.0     0.0
     2.0    21.0     5.0     0.0   115.0     0.0     1.0     1.0     0.0     1.0
    20.0     3.0     2.0     0.0     4.0     2.0     2.0     1.0     0.0     9.0
     1.0     0.0     9.0     7.0     2.5    13.5     0.0     0.0     6.0     0.0
   172.0    18.0     0.0     1.0     0.0     0.0     8.0     0.0     0.0     7.0
     1.0     0.0     0.0     3.0     0.0     0.0     0.0     0.0    27.0     1.0
     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0
    51.0     0.0     3.0     0.0     0.0     0.0    11.0     0.0     0.0     2.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0     8.0
     2.0    37.0     3.0 16180.0     1.0
145, , 478
     0.0     0.0     0.0     2.0     1.0     2.0     0.0     3.0     0.0     0.0
     0.0    38.0     4.0     0.0   112.0     0.0     0.0     0.0     0.0     0.0
    10.0     2.0     0.0     0.0     7.0     0.0     1.0     2.0     0.0    11.0
     0.0     0.0     9.0     6.0     0.0    12.0     0.0     0.0     2.0     0.0
   192.0    10.0     0.0     6.0     0.0     2.0     6.0     0.0     3.0     2.0
     0.0     1.0     0.0     7.0     0.0     0.0     2.0     0.0    21.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
    66.0     0.0     5.0     0.0     0.0     0.0    10.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     4.0     0.0     0.0     2.0     0.0     4.0     0.0     5.0
     2.0    48.0     3.0 16180.0     1.0
150, , 627
     0.0     0.0     0.0     1.0     0.0     3.0     0.0     1.0     0.0     0.0
     2.0    18.0     5.0     0.0   123.0     0.0     0.0     2.0     1.0     0.0
    22.0    11.0     3.0     0.0     6.0     2.0     1.0     1.0     0.0    10.0
     1.0     0.0    15.0     6.0     2.0    12.5     0.0     0.0     2.0     1.0
   175.0    13.0     2.0     0.0     0.0     0.0     3.0     0.0     1.0     2.0
     1.0     0.0     0.0     2.0     0.0     0.0     0.0     0.0    20.0     1.0
     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0
    36.0     0.0     3.0     0.0     0.0     0.0    16.0     0.0     0.0     1.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     1.0     0.0     0.0     0.0     2.0     0.0     0.0     0.0     0.0     3.0
     1.0   100.0     4.0 16180.0     1.0
155, , 776
