# GPD ASCII Format
# 24 Apr 00
# Raw Counts - All Pollen Types
#
# ****************************************************************
# ** Please acknowledge the contributors and the North American **
# ** Pollen Database when using these data.                     **
# ****************************************************************
#
# Site name:      Lac à Magie
     0.0    16.0     4.0     0.0     1.0     0.0     0.0     4.0     0.0     0.0
     3.0     8.0     0.0     9.0    15.0    17.0     0.0    10.0    43.0     0.0
     6.0     0.0     0.0    47.0     0.0     0.0     0.0     1.0     1.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     5.0     0.0
     0.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     6.0
     0.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0     2.0     0.0
     3.0     1.0     1.0     0.0     0.0     0.0     3.0     0.0     0.0     0.0
    25.0     0.0     2.0     3.0     0.0     0.0     1.0     4.0     1.0   131.0
     3.0
813, , 9380
    19.0     0.0     2.0     0.0     1.0     1.0     1.0   130.0     0.0     0.0
     0.0     6.0     0.0     0.0     2.0     0.0     0.0     5.0     0.0     1.0
     5.0     6.0     0.0     7.0     8.0    15.0     0.0     4.0    56.0     0.0
     2.0     0.0     0.0    45.0     0.0     0.0     0.0     3.0     1.0     0.0
     1.0     0.0     0.0     1.0     0.0     0.0     0.0     2.0     2.0     0.0
     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0
     0.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    11.0
     0.0     0.0     0.0     2.0     0.0     2.0     1.0     0.0     2.0     2.0
     1.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0
    22.0     0.0     0.0     7.0     0.0     1.0     0.0    17.0     3.0   110.0
     3.0
817, , 9479
     7.0     0.0     0.0     0.0     1.0     1.0     1.0   145.0     0.0     0.0
     0.0     5.0     0.0     0.0     2.0     0.0     0.0     0.0     0.0     0.0
     5.0     8.0     0.0     3.0    14.0    12.0     0.0     7.0    42.0     0.0
     0.0     0.0     0.0    47.0     0.0     1.0     0.0     2.0     1.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0     3.0     0.0
     0.0     0.0     0.0     0.0     0.0     3.0     0.0     0.0     0.0     0.0
     0.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0    10.0
     0.0     0.0     0.0     0.0     0.0     3.0     6.0     0.0     1.0     1.0
     2.0     0.0     1.0     0.0     1.0     2.0     0.0     0.0     0.0     0.0
    73.0     0.0     3.0     0.0     1.0     1.0     4.0    10.0     0.0   149.0
     3.0
821, , 9579
