  109 ind.ud   X Indeterminable undiff.
  110 unk      X Unknown
  111 Euc.spik - Eucalyptus spike (number counted)
25, , 200
     0.0     0.0     0.0     0.0     0.0     1.0     2.0     0.0    25.0     1.0
     7.0     0.0     0.0     0.0     0.0     0.0     3.0     0.0     0.0     1.0
     4.0     0.0     0.0     1.0     0.0     0.0     1.0     0.0     0.0     6.0
     3.0     1.0    13.0     0.0     0.0    11.0     0.0     0.0     0.0     1.0
     0.0     0.0     0.0     0.0     8.0     2.0     4.0     0.0    11.0     0.0
     0.0     3.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     2.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     7.0     0.0     0.0     0.0     0.0     5.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     1.0     4.0    22.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     1.0    14.0     0.0     0.0     2.0
   198.0
80, , 1612
     0.0     1.0     0.0     0.0     0.0     1.0     2.0     1.0    18.0     2.0
     1.0     0.0     0.0     0.0     0.0     0.0     1.0    13.0     0.0     1.0
    10.0     1.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0     5.0
     2.0     3.0    14.0     0.0     0.0    20.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0    22.0     1.0     2.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0    29.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0    18.0     0.0     6.0     0.0
   170.0
120, , 2640
     0.0     2.0     0.0     0.0     0.0     0.0     2.0     0.0    16.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     6.0     0.0     0.0
