# GPD ASCII Format
# 16 Sep 04
# Raw Counts - All Pollen Types
#
# ***********************************************************************
# ** When using these data please acknowledge the contributors and the **
# ** North American Pollen Database.                                   **
# ***********************************************************************
#
# Site name:      Copley Lake
       0.0      23.0       0.0      99.0       0.0      20.0       0.0       1.0
      36.0       0.0       4.0       0.0       0.0       0.0       0.0       0.0
       1.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
       1.0       0.0       0.0       3.0       1.0       0.0       9.0       0.0
       0.0       0.0       0.0       0.0      20.0       1.0       0.0       0.0
       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
       0.0     290.0      18.0       0.0       0.0       0.0   52736.0       0.0
       0.0       0.0       3.0       0.0       0.0       0.0       0.0       0.0
       0.0       0.0       0.0       6.0       4.0       0.0       2.0     606.0
   84539.0
8, , 399
      41.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0
       0.0       2.0       3.0       1.0       0.0       0.0       7.0       0.0
     112.0     180.0       5.0       5.0       2.0       0.0       3.0       8.0
       0.0       9.0       3.0      43.0       0.0      16.0       0.0       0.0
      28.0       0.0      17.0       0.0       0.0       0.0       0.0       0.0
       0.0       0.0       0.0       2.0       0.0       0.0       0.0       0.0
       0.0       0.0       0.0       0.0       3.0       0.0       9.0       0.0
       0.0       0.0       0.0       0.0       6.0       1.0       0.0       0.0
       0.0       0.0       3.0       0.0       2.0       0.0       0.0       0.0
       0.0     428.0     165.0       0.0       0.0       0.0   17556.0       0.0
       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
       0.0       1.0       1.0       9.0       5.0       0.0       1.0     267.0
   60385.0
12, , 612
      38.0       0.0       3.0       0.0       0.0       0.0       1.0       0.0
       0.0       1.0       1.0       0.0       0.0       0.0       7.0       0.0
     105.0     148.0       2.0       6.0       6.0       0.0       2.0       8.0
       0.0      14.0       2.0      60.0       1.0      22.0       0.0       0.0
      38.0       0.0      26.0       0.0       0.0       0.0       0.0       0.0
       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
       0.0       0.0       0.0       0.0       0.0       0.0      28.0       0.0
       0.0       0.0       1.0       0.0       3.0       3.0       0.0       0.0
       0.0       0.0       5.0       0.0       2.0       0.0       0.0       0.0
       2.0     630.0     210.0       0.0       0.0       0.0   19800.0       0.0
       0.0       0.0       0.0       0.0       0.0       0.0       1.0       0.0
       0.0       1.0       0.0       7.0       0.0       0.0       0.0     145.0
   60385.0
16, , 825
      45.0       0.0       2.0       0.0       0.0       1.0       0.0       0.0
       0.0       0.0       2.0       0.0       0.0       0.0       6.0       0.0
     121.0     160.0       2.0       5.0       6.0       0.0       1.0      10.0
       0.0      12.0       1.0      59.0       0.0      10.0       0.0       0.0
      42.0       0.0      21.0       1.0       0.0       0.0       0.0       0.0
       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
       0.0       1.0       0.0       1.0       0.0       0.0      25.0       0.0
       1.0       1.0       1.0       0.0       8.0       5.0       0.0       0.0
       0.0       1.0       5.0       0.0       1.0       0.0       0.0       0.0
       0.0     580.0     111.0       0.0       0.0       4.0   21760.0       0.0
       0.0       0.0       0.0       1.0       1.0       0.0       0.0       1.0
       0.0       1.0       4.0      10.0       1.0       0.0       1.0     160.0
   60385.0
20, , 1038
      49.0       0.0       2.0       0.0       0.0       0.0       3.0       0.0
       0.0       0.0       3.0       2.0       0.0       0.0       2.0       0.0
     138.0     169.0       2.0       4.0       8.0       0.0       3.0       8.0
       0.0      18.0       1.0      51.0       0.0      13.0       0.0       0.0
      55.0       1.0      22.0       0.0       0.0       0.0       0.0       0.0
       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
       0.0       0.0       0.0       0.0       0.0       1.0      33.0       0.0
       0.0       0.0       0.0       0.0       3.0       0.0       0.0       0.0
       0.0       0.0       2.0       0.0       2.0       2.0       0.0       0.0
       0.0     639.0     211.0       0.0       0.0       5.0   25200.0       0.0
       0.0       0.0       0.0       0.0       0.0       0.0       0.0       2.0
       0.0       0.0       0.0       6.0       3.0       0.0       4.0     172.0
   60385.0
24, , 1251
      21.0       0.0       8.0       0.0       0.0       0.0       4.0       0.0
       0.0       0.0       6.0       1.0       0.0       0.0      14.0       0.0
     106.0     164.0       1.0       8.0      14.0       0.0       5.0      11.0
       0.0      22.0       1.0      67.0       0.0      19.0       0.0       0.0
      49.0       0.0      22.0       0.0       0.0       0.0       0.0       0.0
       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
       0.0       0.0       0.0       1.0       0.0       1.0      44.0       0.0
       0.0       1.0       0.0       0.0       2.0       2.0       0.0       0.0
       0.0       0.0       8.0       1.0       2.0       0.0       0.0       0.0
       0.0     592.0     265.0       0.0       0.0       2.0   18666.0       0.0
       0.0       0.0       0.0       0.0       0.0       0.0       0.0       1.0
       0.0       2.0       0.0      11.0       0.0       0.0       1.0     150.0
   60385.0
28, , 1464
      48.0       0.0       1.0       0.0       0.0       2.0       1.0       0.0
       0.0       0.0       2.0       0.0       0.0       0.0       5.0       0.0
      87.0     135.0       2.0       4.0       8.0       0.0       2.0       8.0
       0.0      11.0       0.0      86.0       0.0      15.0       0.0       0.0
      42.0       0.0      16.0       0.0       0.0       0.0       3.0       1.0
       0.0       0.0       0.0       1.0       0.0       0.0       0.0       0.0
       0.0       0.0       0.0       0.0       0.0       0.0      31.0       1.0
       2.0       0.0       0.0       0.0       8.0       3.0       0.0       0.0
       0.0       0.0       3.0       0.0       1.0       0.0       0.0       0.0
       0.0     700.0     157.0       0.0       0.0       5.0   17640.0       0.0
       0.0       0.0       0.0       0.0       1.0       0.0       0.0       0.0
       0.0       2.0       4.0       6.0       0.0       0.0       1.0     139.0
   60385.0
32, , 1793
      44.0       0.0       2.0       0.0       0.0       1.0       1.0       0.0
       0.0       1.0       4.0       0.0       0.0       0.0       9.0       0.0
     142.0     138.0       1.0       9.0      13.0       0.0       2.0      11.0
       0.0      16.0       0.0      86.0       0.0      16.0       0.0       0.0
      39.0       0.0      29.0       0.0       0.0       0.0       1.0       0.0
       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
       0.0       0.0       1.0       0.0       0.0       0.0      35.0       0.0
       0.0       0.0       1.0       0.0       0.0       1.0       0.0       0.0
       0.0       0.0       7.0       0.0       2.0       0.0       0.0       0.0
       0.0     720.0     200.0       0.0       0.0       2.0   16100.0       0.0
       0.0       0.0       0.0       0.0       1.0       0.0       0.0       1.0
       0.0       9.0       9.0      11.0       2.0       0.0      10.0     154.0
   60385.0
36, , 2238
      47.0       0.0       9.0       0.0       0.0       0.0       4.0       0.0
       0.0       1.0       5.0       2.0       0.0       0.0      13.0       0.0
      86.0     121.0       1.0      16.0      10.0       0.0       8.0      10.0
       0.0      12.0       2.0      74.0       0.0       8.0       0.0       0.0
      49.0       0.0      24.0       0.0       0.0       0.0       1.0       0.0
       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
       1.0       0.0       0.0       0.0       0.0       0.0      37.0       0.0
       0.0       0.0       1.0       0.0       8.0       3.0       0.0       0.0
       2.0       0.0       6.0       0.0       0.0       0.0       0.0       0.0
       2.0    1002.0     176.0       0.0       0.0       2.0   13662.0       0.0
       0.0       0.0       0.0       0.0       1.0       0.0       1.0       2.0
       0.0       4.0       3.0      10.0       0.0       0.0       2.0     147.0
   60385.0
40, , 2684
      37.0       0.0       3.0       0.0       0.0       0.0       0.0       0.0
       0.0       2.0       2.0       0.0       0.0       0.0       6.0       0.0
      85.0     199.0       8.0       5.0      13.0       0.0       6.0       9.0
       0.0      13.0       1.0      51.0       0.0      12.0       0.0       0.0
      58.0       0.0      15.0       0.0       0.0       0.0       0.0       0.0
       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
       0.0       0.0       0.0       0.0       0.0       1.0      29.0       0.0
       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
       0.0       0.0       5.0       0.0       0.0       0.0       0.0       0.0
       0.0     806.0       7.0       0.0       0.0       6.0   14040.0       0.0
       0.0       0.0       0.0       0.0       0.0       0.0       0.0       1.0
       0.0       1.0       1.0       3.0       1.0       0.0       1.0     534.0
  181155.0
44, , 3129
      48.0       0.0       1.0       0.0       0.0       1.0       0.0       0.0
       0.0       0.0       3.0       0.0       0.0       0.0       7.0       0.0
     108.0     174.0       9.0       4.0      43.0       0.0       0.0       6.0
       0.0      18.0       2.0      79.0       0.0      14.0       0.0       1.0
      57.0       0.0      17.0       0.0       0.0       0.0       0.0       0.0
       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
       0.0       0.0       0.0       0.0       0.0       0.0      21.0       1.0
       0.0       0.0       2.0       0.0       0.0       0.0       0.0       0.0
       0.0       0.0       3.0       0.0       0.0       0.0       0.0       0.0
       0.0     811.0       1.0       0.0       0.0       6.0    3500.0       0.0
       0.0       0.0       0.0       0.0       0.0       1.0       0.0       2.0
       0.0       1.0       1.0       1.0       4.0       0.0       2.0     458.0
  181155.0
48, , 3574
      39.0       0.0       3.0       0.0       0.0       0.0       0.0       0.0
       0.0       1.0       8.0       0.0       0.0       0.0      10.0       0.0
      94.0     177.0       2.0       8.0      14.0       0.0       0.0      11.0
       0.0       7.0       0.0      60.0       0.0      20.0       0.0       0.0
      58.0       0.0      20.0       0.0       0.0       0.0       0.0       0.0
       0.0       0.0       0.0       0.0       0.0       0.0       1.0       0.0
       0.0       0.0       0.0       0.0       0.0       0.0      29.0       0.0
       0.0       0.0       0.0       0.0       5.0       0.0       0.0       0.0
       0.0       0.0       7.0       0.0       0.0       0.0       0.0       0.0
       0.0     823.0      44.0       0.0       0.0       6.0   20140.0       1.0
       0.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0
       0.0       0.0       0.0       4.0       0.0       0.0       2.0     395.0
  181155.0
52, , 4020
      38.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0
       0.0       0.0       3.0       0.0       0.0       0.0       7.0       0.0
      93.0     187.0       1.0       5.0      24.0       0.0       3.0       9.0
       0.0      18.0       1.0      63.0       0.0      12.0       0.0       0.0
      32.0       0.0      11.0       0.0       0.0       0.0       0.0       0.0
       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
       0.0       0.0       0.0       0.0       0.0       0.0      29.0       0.0
       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
       0.0       0.0       0.0       0.0       1.0       0.0       0.0       0.0
       2.0    1464.0      85.0       0.0       0.0       4.0    1944.0       0.0
       0.0       0.0       0.0       0.0       1.0       0.0       0.0       4.0
       0.0       1.0       3.0       0.0       0.0       0.0       3.0     352.0
  181155.0
56, , 4465
      48.0       1.0       0.0       0.0       0.0       1.0       0.0       0.0
       0.0       0.0       0.0       0.0       0.0       0.0       7.0       0.0
     107.0     173.0       2.0       7.0      24.0       0.0       1.0       7.0
       1.0      20.0       2.0      83.0       0.0      14.0       0.0       0.0
      39.0       0.0      21.0       0.0       0.0       1.0       0.0       0.0
       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
       0.0       0.0       0.0       0.0       0.0       0.0      27.0       1.0
       0.0       0.0       0.0       0.0       0.0       2.0       0.0       0.0
       0.0       0.0       1.0       0.0       1.0       0.0       0.0       0.0
       0.0    1418.0      24.0       0.0       0.0       4.0    2056.0       0.0
       0.0       0.0       0.0       0.0       0.0       0.0       0.0       2.0
       0.0       3.0       6.0       4.0       1.0       0.0       8.0     386.0
  181155.0
60, , 4911
      48.0       0.0       3.0       0.0       0.0       0.0       1.0       0.0
       0.0       0.0       2.0       0.0       0.0       0.0       7.0       0.0
     128.0     177.0       7.0       5.0      23.0       0.0       1.0       7.0
       0.0      13.0       1.0      57.0       1.0      14.0       0.0       0.0
      28.0       0.0      14.0       0.0       0.0       0.0       0.0       0.0
       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
       0.0       0.0       0.0       0.0       0.0       0.0      12.0       0.0
       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
       0.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0
       1.0    3276.0      56.0       0.0       0.0       4.0    6188.0       0.0
       0.0       0.0       0.0       1.0       1.0       1.0       1.0       1.0
       0.0       3.0       6.0       6.0       1.0       0.0       1.0     391.0
  181155.0
64, , 5356
      61.0       0.0       1.0       0.0       0.0       1.0       5.0       0.0
       0.0       2.0       2.0       0.0       0.0       0.0      12.0       0.0
     118.0     122.0       1.0      10.0      24.0       0.0       4.0       9.0
       0.0      14.0       0.0      66.0       0.0      10.0       0.0       1.0
      34.0       0.0      11.0       0.0       0.0       0.0       0.0       0.0
       0.0       0.0       0.0       0.0       0.0       0.0       1.0       0.0
       0.0       0.0       0.0       0.0       0.0       0.0      21.0       0.0
       0.0       0.0       1.0       0.0       7.0       0.0       0.0       0.0
       0.0       0.0       2.0       0.0       1.0       0.0       0.0       0.0
       0.0     938.0      78.0       0.0       0.0       4.0     910.0       0.0
       0.0       0.0       0.0       0.0       0.0       0.0       1.0       0.0
       0.0       3.0       4.0       1.0       0.0       0.0       1.0     167.0
   84539.0
68, , 5720
      47.0       0.0       4.0       0.0       0.0       0.0       0.0       0.0
       0.0       2.0       2.0       1.0       0.0       0.0       6.0       0.0
     188.0      98.0       6.0       4.0      28.0       0.0       2.0      10.0
       0.0      18.0       0.0      43.0       0.0      12.0       0.0       0.0
      32.0       0.0      16.0       0.0       0.0       0.0       1.0       0.0
       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
       0.0       0.0       0.0       3.0       0.0       0.0      16.0       0.0
       0.0       0.0       2.0       0.0       2.0       2.0       1.0       0.0
       0.0       0.0       2.0       0.0       3.0       0.0       0.0       0.0
       0.0    1005.0      52.0       0.0       0.0       1.0    3995.0       0.0
       0.0       0.0       0.0       0.0       0.0       0.0       1.0       5.0
       0.0       0.0       2.0       7.0       2.0       0.0       3.0     140.0
   84539.0
72, , 5841
      28.0       0.0       4.0       1.0       0.0       1.0       0.0       0.0
       0.0       0.0       1.0       0.0       0.0       0.0      27.0       2.0
     116.0     143.0       1.0       6.0      37.0       0.0       1.0      13.0
       0.0      17.0       0.0      65.0       0.0      14.0       0.0       0.0
      61.0       0.0      19.0       0.0       0.0       0.0       1.0       0.0
       0.0       0.0       0.0       1.0       0.0       0.0       0.0       0.0
       0.0       0.0       0.0       1.0       0.0       0.0      41.0       0.0
       0.0       0.0       1.0       0.0       7.0       0.0       0.0       0.0
       0.0       0.0       8.0       0.0       2.0       0.0       0.0       0.0
       0.0    1408.0     135.0       0.0       0.0       0.0    4672.0       0.0
       0.0       0.0       0.0       0.0       1.0       0.0       0.0       3.0
       0.0       7.0       3.0       8.0       0.0       0.0       2.0     191.0
   84539.0
76, , 5962
      27.0       0.0       5.0       0.0       0.0       1.0       1.0       0.0
       1.0       2.0       1.0       0.0       0.0       0.0      10.0       0.0
     124.0     130.0       1.0       8.0      37.0       0.0       6.0       6.0
       0.0      14.0       2.0      55.0       0.0       8.0       0.0       0.0
      45.0       0.0      16.0       0.0       0.0       0.0       0.0       0.0
       0.0       0.0       0.0       2.0       0.0       0.0       0.0       0.0
       0.0       0.0       0.0       4.0       0.0       0.0      32.0       0.0
       0.0       0.0       2.0       0.0       3.0       0.0       0.0       1.0
       0.0       0.0       4.0       0.0       0.0       0.0       0.0       0.0
       0.0    2889.0      63.0       0.0       0.0       0.0    2889.0       1.0
       0.0       0.0       0.0       0.0       1.0       0.0       1.0       7.0
       0.0       4.0       5.0       4.0       5.0       0.0       2.0     111.0
   84539.0
80, , 6083
      31.0       0.0       8.0       0.0       0.0       2.0       0.0       0.0
       0.0       3.0       0.0       0.0       0.0       0.0      28.0       0.0
     157.0     178.0       2.0       9.0      23.0       0.0       1.0      11.0
       0.0      15.0       1.0      57.0       0.0      13.0       0.0       0.0
      49.0       1.0      18.0       0.0       0.0       0.0       2.0       0.0
       0.0       0.0       0.0       1.0       0.0       0.0       0.0       0.0
       0.0       0.0       0.0       0.0       0.0       0.0      33.0       0.0
       0.0       0.0       0.0       0.0       1.0       1.0       0.0       0.0
       0.0       0.0       5.0       0.0       0.0       0.0       0.0       0.0
       0.0    1143.0      29.0       0.0       0.0       0.0     891.0       0.0
       0.0       0.0       0.0       0.0       0.0       0.0       0.0       4.0
       0.0       9.0       4.0      13.0       1.0       0.0       9.0     197.0
   84539.0
84, , 6204
      41.0       0.0       9.0       0.0       0.0       0.0       0.0       1.0
       0.0       3.0       1.0       0.0       0.0       0.0      14.0       2.0
     201.0     177.0       2.0      21.0      26.0       0.0       1.0       4.0
       0.0      18.0       0.0      45.0       0.0      11.0       1.0       0.0
      42.0       0.0      19.0       0.0       0.0       0.0       0.0       0.0
       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
       0.0       0.0       0.0       0.0       0.0       0.0      18.0       0.0
       0.0       0.0       0.0       0.0       1.0       0.0       0.0       0.0
       0.0       1.0       7.0       0.0       1.0       0.0       0.0       0.0
       0.0     609.0      22.0       0.0       0.0       0.0    1645.0       0.0
       0.0       0.0       0.0       0.0       0.0       0.0       0.0       3.0
       0.0       0.0       1.0       6.0       9.0       3.0       9.0     144.0
   84539.0
88, , 6325
      44.0       0.0       6.0       0.0       1.0       0.0       0.0       0.0
       0.0       2.0       2.0       0.0       0.0       0.0      17.0       0.0
     216.0     214.0       4.0       8.0      40.0       0.0       3.0       3.0
       0.0      23.0       1.0      58.0       0.0      12.0       0.0       0.0
      48.0       0.0      17.0       0.0       0.0       0.0       0.0       0.0
       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
       0.0       0.0       0.0       1.0       0.0       0.0      24.0       0.0
       0.0       0.0       2.0       0.0       0.0       0.0       0.0       0.0
       0.0       0.0      10.0       0.0       1.0       0.0       0.0       0.0
       0.0    1343.0      16.0       0.0       0.0       0.0     780.0       0.0
       0.0       0.0       0.0       0.0       0.0       0.0       0.0       4.0
       0.0       5.0       1.0       5.0       2.0       3.0      13.0     161.0
   84539.0
92, , 6446
      40.0       0.0       9.0       1.0       0.0       1.0       0.0       0.0
       0.0       1.0       0.0       0.0       0.0       0.0      20.0       0.0
     133.0     137.0       1.0      11.0      34.0       0.0       4.0       5.0
       0.0      11.0       1.0      71.0       0.0       2.0       0.0       0.0
      48.0       0.0      15.0       0.0       0.0       0.0       0.0       0.0
       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
       0.0       0.0       0.0       0.0       0.0       0.0      25.0       0.0
       0.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0
       0.0       0.0       3.0       0.0       1.0       0.0       0.0       0.0
       0.0     864.0      60.0       0.0       0.0       0.0    2034.0       0.0
       0.0       0.0       0.0       0.0       0.0       0.0       4.0       9.0
       0.0       8.0      10.0      15.0       7.0       3.0      19.0     138.0
   84539.0
96, , 6567
      20.0       0.0       6.0       0.0       1.0       0.0       0.0       0.0
       0.0       0.0       2.0       0.0       0.0       0.0      19.0       0.0
     145.0     130.0       0.0       5.0      18.0       0.0       0.0       7.0
       0.0       9.0       0.0      77.0       0.0       8.0       0.0       0.0
      31.0       0.0       8.0       0.0       0.0       0.0       0.0       0.0
       0.0       0.0       0.0       1.0       0.0       0.0       0.0       0.0
       0.0       0.0       0.0       0.0       0.0       0.0      25.0       0.0
       0.0       0.0       0.0       0.0       4.0       0.0       0.0       0.0
       0.0       0.0       5.0       0.0       0.0       1.0       0.0       0.0
       1.0     366.0     100.0       9.0       0.0       0.0    4410.0       0.0
       0.0       0.0       0.0       0.0       4.0       0.0       0.0       4.0
       0.0       7.0       6.0      22.0       1.0       0.0       5.0     109.0
   84539.0
100, , 6688
      24.0       0.0       7.0       0.0       0.0       0.0       1.0       0.0
       0.0       1.0       0.0       0.0       0.0       0.0      19.0       0.0
     148.0     158.0       1.0      16.0      30.0       0.0       1.0       4.0
       0.0      10.0       0.0      62.0       0.0      10.0       0.0       0.0
      37.0       0.0       5.0       0.0       0.0       0.0       0.0       0.0
       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
       0.0       0.0       0.0       0.0       0.0       0.0      20.0       0.0
       0.0       0.0       1.0       0.0       0.0       1.0       0.0       0.0
       0.0       0.0       6.0       0.0       1.0       1.0       0.0       0.0
       0.0     301.0      18.0       1.0       0.0       0.0     511.0       0.0
       0.0       0.0       0.0       0.0       0.0       0.0       2.0       3.0
       0.0      17.0       5.0      20.0       7.0       1.0       9.0     197.0
   84539.0
104, , 6809
      19.0       0.0       7.0       0.0       1.0       0.0       0.0       0.0
       0.0       2.0       3.0       0.0       0.0       0.0      25.0       0.0
      76.0     141.0      13.0      10.0      50.0       0.0       2.0       3.0
       1.0      21.0       0.0      65.0       0.0       5.0       0.0       1.0
      53.0       0.0       8.0       0.0       0.0       0.0       0.0       0.0
       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
       0.0       0.0       1.0       0.0       0.0       0.0      43.0       2.0
       0.0       0.0       1.0       0.0      10.0       0.0       0.0       0.0
       0.0       0.0       3.0       0.0       0.0       0.0       0.0       2.0
       0.0     378.0      38.0       0.0       0.0       0.0     810.0       0.0
       0.0       0.0       0.0       1.0       0.0       0.0       0.0       2.0
       1.0       2.0       8.0       4.0       1.0       0.0       4.0     273.0
  181155.0
108, , 6957
      14.0       0.0       2.0       0.0       0.0       0.0       0.0       0.0
       0.0       0.0       1.0       0.0       0.0       0.0      19.0       0.0
      75.0     186.0      10.0       9.0      25.0       0.0       4.0       9.0
