# GPD ASCII Format
# 25 Mar 00
# Raw Counts - All Pollen Types
#
# ****************************************************************
# ** Please acknowledge the contributors and the North American **
# ** Pollen Database when using these data.                     **
# ****************************************************************
#
# Site name:      Poland Spring Pond
     0.0    10.0     1.0     0.0     0.0     0.0     0.0     4.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0
     0.0     0.0     0.0     4.0     0.0     0.0     0.0     0.0     0.0     1.0
     0.0     0.0     0.0     0.0     1.0     0.0     4.0     1.0     2.0     5.0
   385.0     5.0 10850.0      .5
355.5, , 56
     0.0     0.0     0.0     1.0     0.0     3.0     0.0     7.0     1.0     0.0
    85.0     0.0     1.0     0.0     2.0     0.0    11.0     1.0     0.0    14.0
     0.0     6.0     2.0     0.0     1.0     0.0     0.0     0.0     0.0     2.0
     2.0     1.0    19.0    30.0     2.0     0.0    63.0     1.0     2.0     0.0
     0.0    12.0     3.0     9.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0
     0.0     8.0     1.0     0.0     0.0     0.0     0.0     7.0     0.0     0.0
     0.0     0.0     0.0     3.0     0.0     0.0     0.0     0.0     0.0     1.0
     1.0     2.0     0.0     2.0     0.0     0.0     0.0     0.0     0.0     1.0
     0.0     0.0     1.0     0.0     2.0     0.0     3.0     1.0     4.0     6.0
   379.0     5.0 10850.0      .5
375, , 137
     2.0     0.0     0.0     0.0     0.0     6.0     0.0     2.0     1.0     3.0
    69.0     0.0     1.0     0.0     1.0     0.0    13.0     1.0     0.0    18.0
     0.0     8.0     2.0     0.0     0.0     0.0     0.0     0.0     0.0    14.0
     8.0     6.0    19.0    19.0     1.0     0.0    80.0     2.0     0.0     0.0
     2.0    19.0     2.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     3.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     1.0     2.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0
     0.0     0.0     0.0     0.0     3.0     0.0     2.0     2.0     1.0     4.0
   238.0     5.0 10850.0      .5
375.5, , 139
     1.0     0.0     0.0     3.0     0.0     2.0     0.0     3.0     2.0     0.0
    73.0     0.0     1.0     0.0     0.0     0.0    14.0     1.0     0.0    21.0
     0.0     5.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0     2.0
     8.0    10.0    10.0    50.0     0.0     0.0    82.0     1.0     0.0     0.0
     0.0    19.0     0.0     2.0     0.0     0.0     1.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     2.0     0.0     0.0
     0.0     4.0     0.0     0.0     0.0     0.0     0.0     2.0     0.0     0.0
     0.0     0.0     0.0     3.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     8.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     2.0     0.0     5.0     0.0     1.0     6.0
   263.0     5.0 10850.0      .5
385.5, , 181
     0.0     0.0     0.0     3.0     0.0     2.0     0.0     3.0     1.0     1.0
    93.0     1.0     0.0     0.0     2.0     0.0    13.0     1.0     0.0    27.0
     0.0     7.0     6.0     2.0     0.0     0.0     0.0     0.0     0.0     2.0
    10.0     8.0     7.0    38.0     0.0     0.0    95.0     3.0     0.0     0.0
     0.0    28.0     5.0     1.0     0.0     2.0     3.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     2.0     0.0     0.0     1.0     0.0     0.0     0.0
     0.0     0.0     0.0     7.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     1.0     0.0     1.0     0.0     4.0     0.0     2.0     5.0
   267.0     5.0 10850.0      .5
395.5, , 286
     0.0     0.0     0.0     3.0     0.0     5.0     0.0     0.0     3.0     0.0
    82.0     1.0     1.0     0.0     0.0     0.0     9.0     1.0     0.0    39.0
     0.0     5.0     3.0     1.0     0.0     0.0     0.0     0.0     0.0     3.0
     5.0     3.0     7.0    22.0     3.0     0.0    85.0     3.0     0.0     0.0
     1.0    29.0     2.0     0.0     0.0     1.0     1.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     2.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     1.0     0.0     5.0     0.0     0.0     0.0     1.0     0.0     1.0
     0.0     0.0     0.0     0.0     2.0     0.0     5.0     0.0     2.0     1.0
   237.0     5.0 10850.0      .5
400, , 357
     4.0     0.0     0.0     0.0     0.0     7.0     0.0     2.0     1.0     0.0
   100.0     3.0     0.0     0.0     0.0     0.0     7.0     0.0     0.0    61.0
     0.0     3.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0    22.0
    20.0     3.0    21.0     7.0     0.0     0.0    43.0     0.0     0.0     0.0
     0.0    74.0     7.0     0.0     0.0     1.0     2.0     0.0     1.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     1.0     0.0     0.0     0.0     1.0     0.0     1.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     2.0     0.0     5.0     0.0     0.0     0.0     0.0     1.0     0.0
     0.0     0.0     0.0     0.0     3.0     0.0     3.0     0.0     3.0     2.0
   302.0     5.0 10850.0      .5
405.5, , 443
     1.0     0.0     0.0     2.0     0.0     5.0     1.0     4.0     0.0     0.0
   107.0     0.0     2.0     0.0     0.0     0.0    12.0     2.0     0.0    56.0
     0.0     8.0     4.0     0.0     0.0     0.0     0.0     0.0     0.0     8.0
     7.0     2.0    17.0    23.0     0.0     0.0    61.0     3.0     2.0     0.0
     0.0    33.0     4.0     0.0     0.0     0.0     3.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     1.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     1.0     0.0     0.0     5.0     0.0     1.0     0.0     0.0     1.0     0.0
     0.0     0.0     0.0     0.0     4.0     0.0     3.0     1.0     0.0     3.0
   242.0     5.0 10850.0      .5
420, , 670
     2.0     0.0     0.0     0.0     0.0     6.0     1.0     0.0     1.0     0.0
    85.0     0.0     1.0     0.0     0.0     0.0     5.0     0.0     0.0    53.0
     0.0     4.0     2.0     0.0     0.0     0.0     0.0     0.0     0.0    12.0
     9.0     0.0    21.0     1.0     1.0     0.0    19.0     0.0     1.0     0.0
     0.0    76.0     2.0     1.0     0.0     1.0     2.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     2.0     0.0     1.0     0.0     1.0     3.0
   218.0     5.0 10850.0      .5
440, , 983
     1.0     0.0     0.0     4.0     0.0    11.0     0.0     1.0     2.0     0.0
   135.0     1.0     2.0     0.0     0.0     0.0     7.0     0.0     0.0    93.0
     0.0    14.0     3.0     1.0     0.0     0.0     0.0     0.0     0.0     7.0
     1.0     1.0    57.0    16.0     0.0     0.0    34.0     1.0     0.0     0.0
     3.0    74.0     8.0     0.0     0.0     0.0     3.0     0.0     0.0     0.0
     0.0     1.0     0.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0
     0.0     1.0     0.0     1.0     0.0     1.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     1.0     3.0     1.0     7.0     0.0     0.0     3.0
   216.0     5.0 10850.0      .5
460, , 1296
     2.0     0.0     0.0     1.0     0.0     2.0     0.0     3.0     1.0     0.0
    69.0     0.0     1.0     0.0     1.0     0.0     1.0     0.0     0.0    67.0
     0.0     4.0     2.0     1.0     0.0     0.0     0.0     0.0     0.0     1.0
     2.0     1.0    22.0    19.0     3.0     0.0    16.0     0.0     0.0     0.0
     1.0    75.0     4.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0
     0.0     1.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     7.0     1.0     2.0     3.0
   203.0     5.0 10850.0      .5
480, , 1609
     0.0     0.0     0.0     4.0     0.0     8.0     0.0     3.0     0.0     0.0
    63.0     0.0     0.0     0.0     0.0     0.0     2.0     0.0     1.0    69.0
     0.0     6.0     2.0     1.0     0.0     0.0     0.0     0.0     0.0     1.0
     1.0     2.0     9.0    19.0     1.0     0.0    25.0     0.0     0.0     0.0
     1.0    98.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0
