# GPD ASCII Format
# 23 Mar 00
# Raw Counts - All Pollen Types
#
# ****************************************************************
# ** Please acknowledge the contributors and the North American **
# ** Pollen Database when using these data.                     **
# ****************************************************************
#
# Site name:      Black Pond
# Place:          USA:Tennessee
# Latitude:       35.37.15N      (  35.620833)
# Longitude:      84.11.12W      ( -84.186667)
# Elevation(m):   262
# Sigle:          BLACKPND
# Entity name:    Core BPT82A
# Contact person: Delcourt, P.A.
#
# Radiocarbon dates:
#   Depth   Thk     Age   SDup   SDlo  Lab no.    Basis  Material
#   202.5    10     430     90     90  A-3064       G    clayey silt with macro
#   264.0    10    2840    150    150  A-2977       G    silty sand
#
# Chron name:     NAPD 1
# Age model:      linear interpolation
# Age bounds:     -30 - 2740
# Chron notes:    Chron uses surface (-32 BP) and two radiocarbon dates
#                 adjusted by 300 yrs, placing the Ambrosia-rise at the time
#                 of European settlement (AD 1820).
#
# Age basis:
#   Depth   Thk     Age  AgeUp  AgeLo  RCode
#     0.0     0     -32      0    -32   TOP
#   202.5    10     130    150    110   AMR
#   264.0    10    2540   2840   2240   CAJ
#
# Publications:   Cridlebaugh, P.A. 1984. American Indian and Euro-American
#                 impact upon Holocene vegetation in the Lower Little
#                 Tennessee River Valley, East Tennessee. Dissertation.
#                 University of Tennessee, Knoxville, Tennessee, USA.
#
#                 Delcourt, P.A., H.R. Delcourt, P.A. Cridlebaugh, and J.
#                 Chapman. 1986. Holocene ethnobotanical and paleoecological
#                 record of human impact on vegetation in the Little Tennessee
#                 River Valley, Tennessee. Quaternary Research 25:330-349.
#
106 43
     0.0     0.0     5.0     5.0     7.0     0.0     1.0     0.0     0.0     2.0
     1.0     7.0    30.0    32.0     0.0     0.0     1.0   109.0     1.0     0.0
    41.0     3.0     0.0     0.0     0.0    10.0     0.0     3.0     1.0   108.0
     0.0     0.0     8.0     0.0     4.0     1.0     4.0     2.0    13.0     1.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     2.0
     3.0     0.0    27.0     0.0     2.0     1.0     0.0     0.0     0.0     0.0
     3.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     2.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0     1.0
     2.0     0.0   278.0     1.0 16180.0     1.0
30, , -8
     0.0     0.0     0.0     1.0     4.0     5.0    10.0     2.0     1.0     0.0
     0.0     4.0     0.0     1.0     4.0     0.0     0.0    16.0    19.0     2.0
     0.0     0.0     4.0     5.0     1.0     0.0     0.0     0.0     0.0     1.0
     2.0     2.0    27.0    41.0     1.0     1.0     0.0   123.0     0.0     0.0
    38.0     3.0     0.0     0.0     1.0     1.0     1.0     2.0     0.0   237.0
     1.0     1.0     3.0     0.0     1.0     0.0     2.0     1.0    15.0     0.0
     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     4.0
     6.0     0.0    17.0     0.0     1.0     0.0     1.0     0.0     0.0     0.0
     0.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0    57.0     0.0     1.0
     4.0     0.0   533.0     1.0 16180.0     1.0
40, , 0
     1.0     0.0     0.0     0.0     3.0     3.0     9.0    44.0     2.0     0.0
     0.0     7.0     0.0     1.0     4.0     1.0     4.0     6.0     7.0     0.0
     1.0     0.0     9.0     5.0     1.0     1.0     0.0     0.0     0.0     0.0
     1.0     4.0    36.0    58.0     0.0     0.0     0.0   123.0     0.0     0.0
    27.0     1.0     0.0     0.0     0.0     4.0     0.0     1.0     0.0   236.0
     0.0     0.0    18.0     0.0     4.0     3.0     2.0     2.0    16.0     0.0
     0.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0     3.0
     3.0     0.0    32.0     0.0     1.0     3.0     0.0     0.0     1.0     2.0
     4.0     2.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0
